k,n,toplam_mesaj,probe,ack,reject,encoded,encode_sayisi,basari_orani,sure_saniye,toplam_maliyet
500,100,2050,1110,196,642,102,99,52.20,109.54,2099.50
500,200,4390,2382,396,1410,202,199,52.80,89.54,4489.50
1000,200,4370,2366,398,1404,202,199,50.30,95.99,4469.50
1000,400,9095,4942,798,2952,403,399,51.90,186.75,9294.50
500,750,17141,9350,1496,5544,751,749,100.00,250.64,17515.50
500,1000,23078,12702,1996,7378,1002,999,100.00,158.81,23577.50
1000,1500,35025,19242,2996,11286,1501,1499,100.00,143.00,35774.50
1000,2000,46822,25706,3998,15116,2002,1999,100.00,218.66,47821.50
